Amount_of_chicken,Temperature,Humidity,AQI (Air quality),WQI (Water quality),Humidex
2728,29.3,51.7,21.95779617,95.95053795,35.01621161
2728,29.3,52.3,8.731716021,88.55976855,35.8221535
2728,29.3,52.5,8.402340281,93.36175525,34.27735829
2728,29.3,49.7,14.46657402,98.94722564,33.32064135
2728,29.2,51.4,15.77494733,94.58458639,30.61913643
2728,29.2,54.3,7.357377343,91.67983445,32.89712575
2728,29.2,53.5,40.04470083,93.84098285,32.61317118
2728,29.2,51.7,43.69061285,88.59042608,33.40717953
2728,29.2,50.6,7.544253429,84.82606375,35.68253449
2728,29.2,50.7,25.58684636,84.97905677,31.7103552
2728,29.1,53.1,31.61952919,90.6292363,33.64500306
2728,29.1,54.1,16.1372954,92.56182971,31.5413001
2728,29.1,51.9,1.778920631,83.6070224,31.50803588
2724,29.1,51.1,25.79006396,86.73053401,33.07093248
2712,29.1,50,39.57438107,96.37298751,30.48303947
2673,29.1,48.8,44.20761845,94.97563822,31.22643137
2654,29.1,50.4,32.62914227,95.05753373,30.68876904
2649,29,50.5,44.75372108,89.75987823,31.37232845
2646,29,50.9,30.58278096,84.85031874,31.76636009
2646,29,50.5,16.35370714,92.28151982,36.8243268
2646,29,49.7,48.94095672,96.0302152,31.39128699
2646,29,51,46.28341003,93.93602681,33.18853398
2646,29,48.6,8.705781896,80.11499822,35.84041725
2645,29,50,9.995152264,99.0329242,36.51154918
2645,29,51.5,8.055047246,95.45140133,35.20654606
2643,29.2,53.5,37.21106013,94.77554085,34.17963552
2642,29.3,51.7,9.149981317,96.11081149,30.87670158
2642,29.2,53.1,23.25192996,98.12209172,35.22985787
2642,29.2,50.6,9.25355781,81.04764178,31.10137779
2640,29,50.5,23.37977023,91.04998541,34.54865048
2639,29.3,50.7,1.618899855,83.3592379,33.33231806
2745,29.5,48.2,49.99957428,99.64035616,33.12687767
2744,31,51,26.32087902,85.73444033,36.60400341
2744,31,52.4,2.51133105,95.06257467,35.13434586
2744,30,48.8,15.05819807,99.84015347,31.24180209
2744,31,49.1,39.44635863,90.19379997,36.98972865
2742,31,50.9,48.81069681,80.47400053,30.42840062
2742,30,47.5,1.953081157,81.14735151,33.7265293
2741,30,51.2,3.713403699,92.17428795,35.72545601
2740,30.5,46.1,16.65904562,94.34998593,34.87400029
2740,31,48.3,16.56792164,95.62214006,33.79603011
2740,31.5,52.1,45.740958,81.35214009,30.19591074
2740,32,49.9,48.06454519,98.83973494,32.57608513
2739,30,50.6,1.900223257,86.81190205,31.02383294
2739,29,49.8,4.00023548,87.14464577,36.41510995
2736,30,50.2,47.16469575,98.11600061,31.1774674
2736,30.5,48.7,30.1504495,92.51827624,33.64480514
2736,29.5,52.7,27.75911098,80.96912342,36.09625598
2736,30.5,51.4,17.51237679,89.6863616,32.14026771
2735,29,49.5,44.88773735,93.08037353,32.02139396
2735,29.5,50.7,44.4327733,95.52313398,36.33472222
2735,29.5,49.3,2.766075118,84.20125154,34.68415856
2732,30,51.7,21.07513052,84.05708477,30.95238657
2732,30,49.6,13.40621467,87.25836467,35.65104555
2732,30.5,48.5,18.92952704,99.13340624,33.3299475
2732,30.5,52.9,49.19314143,93.63139142,35.22800305
2730,32,50.8,27.32331373,85.31669814,32.0928291
2730,31,47.1,47.47930038,95.21745187,32.75278698
2730,29.5,50.5,24.84057521,92.19605125,36.66936544
2729,28.5,52.3,25.30870676,99.94615121,35.31459905
2729,30.5,51.6,3.579237238,87.51985202,36.51230517
2721,29.3,51.7,26.50327935,97.69818679,30.36750685
2721,29.3,52.3,26.60204011,83.52003226,32.95582151
2721,29.3,52.5,14.17005459,94.92198496,30.60668089
2721,29.3,49.7,4.147348611,84.83560106,36.06694824
2721,29.2,51.4,6.327467542,81.51281451,30.13233892
2721,29.2,54.3,44.20197275,85.99564123,35.35551117
2721,29.2,53.5,11.60139893,82.82722587,32.9812031
2721,29.2,51.7,30.01376815,86.43566559,32.28068461
2721,29.2,50.6,31.00692466,89.02092556,31.37772157
2721,29.2,50.7,49.23956783,88.11314155,32.18221689
2721,29.1,53.1,24.68690677,80.22982113,33.82234339
2721,29.1,54.1,1.061258608,88.24230939,32.17989557
2721,29.1,51.9,26.15246957,89.77128233,36.72768592
2724,29.1,51.1,23.85299277,93.47973436,31.25193935
2712,29.1,50,43.96990697,90.56219765,36.59667163
2673,29.1,48.8,44.33618804,95.91501339,36.9787523
2654,29.1,50.4,19.58311569,83.00838571,33.86054557
2649,29,50.5,31.66281179,98.20027494,31.19614303
2646,29,50.9,31.63048207,90.70652136,31.14724924
2646,29,50.5,13.33712018,81.25372211,34.19032946
2646,29,49.7,38.80560662,90.4659646,33.05397531
2646,29,51,24.2046411,82.04657891,31.69551331
2646,29,48.6,1.344171343,81.26220759,34.55428087
2645,29,50,12.88442419,89.49848836,33.00978746
2645,29,51.5,14.00346734,99.29081046,34.57460031
2643,29.2,53.5,13.09248915,85.44138824,34.25212058
2642,29.3,51.7,47.80611137,89.72392333,35.78566252
2642,29.2,53.1,21.43682384,95.51177522,34.61816777
2642,29.2,50.6,9.879693638,95.64331193,32.1495177
2640,29,50.5,38.63995873,94.98383249,30.9720964
2639,29.3,50.7,20.33684022,93.94707486,34.22045882
2745,29.5,48.2,3.886640129,90.94700185,33.60243353
2744,31,51,28.96808927,95.43728126,35.51054625
2744,31,52.4,11.53572836,89.71192102,30.17653272
2744,30,48.8,48.28915494,85.90053505,30.8408654
2744,31,49.1,34.39126312,89.71746498,34.43370113
2742,31,50.9,27.84016651,85.85843309,35.72652127
2742,30,47.5,32.52267318,99.95224449,31.58620828
2741,30,51.2,33.84806307,90.79227679,30.28295162
2740,30.5,46.1,35.56837364,89.62568161,30.58568176
2740,31,48.3,0.539373845,90.79041131,36.43557727
2740,31.5,52.1,26.60557385,92.39446468,36.9922096
2740,32,49.9,15.0898241,88.61587983,36.11967553
2739,30,50.6,2.810011033,98.94490718,30.3313848
2739,29,49.8,46.80569358,83.01464424,30.91694065
2736,30,50.2,22.79219807,90.40042933,31.53209249
2736,30.5,48.7,11.76772215,80.82251401,33.99225745
2736,29.5,52.7,21.07304389,93.73815584,34.52301749
2736,30.5,51.4,25.09419756,95.52548685,30.65618929
2735,29,49.5,39.13140344,88.86933358,35.98255865
2735,29.5,50.7,33.87094,86.55134951,32.51625673
2735,29.5,49.3,2.841423826,82.53443544,33.14347898
2732,30,51.7,45.30504234,94.04441849,35.77603766
2732,30,49.6,24.21449277,83.80832846,31.61875606
2732,30.5,48.5,6.871933781,96.57282942,32.93996061
2732,30.5,52.9,3.97135127,84.87337963,30.83022615
2730,32,50.8,43.23828147,81.32497856,31.30055261
2730,31,47.1,30.41459566,80.81771134,34.00583939
2730,29.5,50.5,2.547330265,94.3745388,34.50593657
2729,28.5,52.3,48.41320605,87.42929628,36.65554651
2729,30.5,51.6,5.425336761,85.64625448,30.80573652
2728,29.3,51.7,1.248147205,94.16518157,36.90668654
2728,29.3,52.3,8.887302199,91.84780314,34.28272728
2728,29.3,52.5,38.5125939,84.42983098,32.99616194
2728,29.3,49.7,36.49078308,86.76909067,36.42535301
2728,29.2,51.4,21.82532465,87.18992638,32.4643692
2728,29.2,54.3,40.12603802,85.15311924,32.94332499
2728,29.2,53.5,43.7640042,91.38500037,36.08873738
2728,29.2,51.7,6.258624766,86.44266198,34.21409391
2728,29.2,50.6,15.37333291,88.67840338,33.29696877
